,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,SamiGorski,🕸👻Spooky👻💉GOREski💉🕸,89788905,508766550896414720,/SamiGorski/status/508766550896414720,2014-09-07 23:59:32,1410134372,0,0,0,0,,,,Rockin out w/ @JetBlue at #BostonCalling2014 #Boston #JetBluesofly http://bit.ly/JetBOS2 pic.twitter.com/MjY3K8EMQW,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Rockin out w/ <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>JetBlue</strong></b></a> at <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BostonCalling2014?src=hash""><s>#</s><b>BostonCalling2014</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Boston?src=hash""><s>#</s><b>Boston</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/JetBluesofly?src=hash""><s>#</s><b>JetBluesofly</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/JetBOS2"" dir=""ltr"" href=""http://t.co/6jnNCc6YFs"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/JetBOS2""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/JetBOS2</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/MjY3K8EMQW"">pic.twitter.com/MjY3K8EMQW</a></p>"
1,JetBlue,JetBlue Airways,6449282,508766361712328704,/JetBlue/status/508766361712328704,2014-09-07 23:58:47,1410134327,0,1,2,0,,,,@TheDollyrots #thedollytot is adorable! We're certain that show will sell out! Thank you for traveling with us today!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20813338"" dir=""ltr"" href=""/TheDollyrots""><s>@</s><b>TheDollyrots</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/thedollytot?src=hash""><s>#</s><b>thedollytot</b></a> is adorable! We're certain that show will sell out! Thank you for traveling with us today!</p>"
2,TheDollyrots,The Dollyrots,20813338,508765206650961921,/TheDollyrots/status/508765206650961921,2014-09-07 23:54:12,1410134052,1,0,0,0,,,,@jetblue to New York... almost ready for takeoff! #thedollytot is officially on tour!! #punk #baby http://instagram.com/p/sqdfnzqHhs/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>jetblue</strong></b></a> to New York... almost ready for takeoff! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/thedollytot?src=hash""><s>#</s><b>thedollytot</b></a> is officially on tour!! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/punk?src=hash""><s>#</s><b>punk</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/baby?src=hash""><s>#</s><b>baby</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://instagram.com/p/sqdfnzqHhs/"" dir=""ltr"" href=""http://t.co/2biFUFlGCU"" rel=""nofollow noopener"" target=""_blank"" title=""http://instagram.com/p/sqdfnzqHhs/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">instagram.com/p/sqdfnzqHhs/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
3,JetBlue,JetBlue Airways,6449282,508764484186681344,/JetBlue/status/508764484186681344,2014-09-07 23:51:20,1410133880,0,0,0,0,,,,@aok50 Have a great flight!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""424560154"" dir=""ltr"" href=""/aok50""><s>@</s><b>aok50</b></a> Have a great flight!</p>"
4,aok50,Alan Greenwald,424560154,508764408865370112,/aok50/status/508764408865370112,2014-09-07 23:51:02,1410133862,1,0,0,0,,,,@JetBlue - doors closed ready to go!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>JetBlue</strong></b></a> - doors closed ready to go!!</p>"
5,JetBlue,JetBlue Airways,6449282,508764325683933184,/JetBlue/status/508764325683933184,2014-09-07 23:50:42,1410133842,0,0,0,0,,,,@KristinHarris Thank you Kristin!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""21372684"" dir=""ltr"" href=""/KristinHarris""><s>@</s><b>KristinHarris</b></a> Thank you Kristin!</p>"
6,KristinHarris,Kristin Harris,21372684,508764290875015168,/KristinHarris/status/508764290875015168,2014-09-07 23:50:33,1410133833,0,0,1,0,,,,"@NYDoorman @JetBlue hahah, luckily today is that 1 time","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""577148164"" dir=""ltr"" href=""/NYDoorman""><s>@</s><b>NYDoorman</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>JetBlue</strong></b></a> hahah, luckily today is that 1 time</p>"
7,JetBlue,JetBlue Airways,6449282,508764265223057408,/JetBlue/status/508764265223057408,2014-09-07 23:50:27,1410133827,0,0,1,0,,,,"@JAGProds We know they're miserable, thanks for having such an awesome attitude John! We love YOU!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">@JAGProds We know they're miserable, thanks for having such an awesome attitude John! We love YOU!</p>"
8,travelawp,Paula F,1321548187,508764174823223296,/travelawp/status/508764174823223296,2014-09-07 23:50:06,1410133806,0,0,0,0,,,,At #jetblue terminal in #jfk sipping a #rumandcokepic.twitter.com/m1SIfLCYiF,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">At <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/jetblue?src=hash""><s>#</s><b><strong>jetblue</strong></b></a> terminal in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/jfk?src=hash""><s>#</s><b>jfk</b></a> sipping a <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/rumandcoke?src=hash""><s>#</s><b>rumandcoke</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/m1SIfLCYiF"">pic.twitter.com/m1SIfLCYiF</a></p>"
9,NYDoorman,nyoldman,577148164,508764124302831617,/NYDoorman/status/508764124302831617,2014-09-07 23:49:54,1410133794,1,0,0,0,,,,@KristinHarris @JetBlue it works like 1/10 times,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""21372684"" dir=""ltr"" href=""/KristinHarris""><s>@</s><b>KristinHarris</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>JetBlue</strong></b></a> it works like 1/10 times</p>"
