,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,JetBlue,JetBlue Airways,6449282,418531843428737024,/JetBlue/status/418531843428737024,2014-01-01 23:59:02,1388620742,0,0,0,0,,,,"@Googuls Thank you for your diligence! We're crossing our fingers for a smooth, safe flight for you!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""167697909"" dir=""ltr"" href=""/Googuls""><s>@</s><b>Googuls</b></a> Thank you for your diligence! We're crossing our fingers for a smooth, safe flight for you!</p>"
1,susanorlean,Susan Orlean,11447852,418531840694439937,/susanorlean/status/418531840694439937,2014-01-01 23:59:01,1388620741,2,0,2,0,,,,@JetBlue Your secret is safe with me. HEY EVERYBODY LOOK WHO LIKES ME,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>JetBlue</strong></b></a> Your secret is safe with me. HEY EVERYBODY LOOK WHO LIKES ME</p>"
2,JetBlue,JetBlue Airways,6449282,418531578457759744,/JetBlue/status/418531578457759744,2014-01-01 23:57:58,1388620678,0,0,0,0,,,,@jacobsudek Right now there's still 5 planes. We'll be sure to update our blog when more are added. http://bit.ly/FlyFiRoutes ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""27508920"" dir=""ltr"" href=""/jacobsudek""><s>@</s><b>jacobsudek</b></a> Right now there's still 5 planes. We'll be sure to update our blog when more are added. <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/FlyFiRoutes"" dir=""ltr"" href=""http://t.co/LAjUc8jsik"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/FlyFiRoutes""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/FlyFiRoutes</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
3,Googuls,Googuls,167697909,418531279731437568,/Googuls/status/418531279731437568,2014-01-01 23:56:47,1388620607,1,0,0,0,,,,@JetBlue no problem. I'll go old fashioned and print my boarding pass for tomorrow.  Assuming we get out before the snow!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>JetBlue</strong></b></a> no problem. I'll go old fashioned and print my boarding pass for tomorrow.  Assuming we get out before the snow!</p>"
4,JetBlue,JetBlue Airways,6449282,418531120901550080,/JetBlue/status/418531120901550080,2014-01-01 23:56:09,1388620569,0,0,0,0,,,,@passport_cutty @brianna__marie We're working on getting our Wi-Fi product (Fly-Fi) installed on all our aircraft - it'll be worth the wait!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""359416159"" dir=""ltr"" href=""/passport_cutty""><s>@</s><b>passport_cutty</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""21815630"" dir=""ltr"" href=""/brianna__marie""><s>@</s><b>brianna__marie</b></a> We're working on getting our Wi-Fi product (Fly-Fi) installed on all our aircraft - it'll be worth the wait!</p>"
5,JetBlue,JetBlue Airways,6449282,418530913538936832,/JetBlue/status/418530913538936832,2014-01-01 23:55:20,1388620520,1,0,1,0,,,,@susanorlean Always a pleasure tweeting with you Susan. You make OUR day. (You're one of our favorites. Shhhh!) :),"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""11447852"" dir=""ltr"" href=""/susanorlean""><s>@</s><b>susanorlean</b></a> Always a pleasure tweeting with you Susan. You make OUR day. (You're one of our favorites. Shhhh!) :)</p>"
6,JetBlue,JetBlue Airways,6449282,418530755946377216,/JetBlue/status/418530755946377216,2014-01-01 23:54:42,1388620482,1,0,0,0,,,,"@Googuls Sorry to hear it! We'll pass this along, let us know if anything changes.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""167697909"" dir=""ltr"" href=""/Googuls""><s>@</s><b>Googuls</b></a> Sorry to hear it! We'll pass this along, let us know if anything changes.</p>"
7,feliiip03,Phil Smith,237298558,418530356552146944,/feliiip03/status/418530356552146944,2014-01-01 23:53:07,1388620387,0,0,0,0,,,,"@MassNole I actually prefer it slightly flying cross-country to Jet Blue.  Can't go wrong either way, really.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2542678927"" dir=""ltr"" href=""/MassNole""><s>@</s><b>MassNole</b></a> I actually prefer it slightly flying cross-country to <strong>Jet Blue</strong>.  Can't go wrong either way, really.</p>"
8,JetBlue,JetBlue Airways,6449282,418530313975783424,/JetBlue/status/418530313975783424,2014-01-01 23:52:57,1388620377,0,0,1,0,,,,"@Gabsrielle Happy New Year, Gabrielle! We hope you had a great time with us, too!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""24742120"" dir=""ltr"" href=""/Gabsrielle""><s>@</s><b>Gabsrielle</b></a> Happy New Year, Gabrielle! We hope you had a great time with us, too!</p>"
9,JetSpeed97,Nick Marconi,93078272,418530211928768513,/JetSpeed97/status/418530211928768513,2014-01-01 23:52:33,1388620353,1,0,1,0,,,,"@Ms_Managed @JetBlue Why, thank you so much! JetBlue U is the facility that trains all of JetBlue's crewmembers from ground crew to pilots.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""267557167"" dir=""ltr"" href=""/Ms_Managed""><s>@</s><b>Ms_Managed</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>JetBlue</strong></b></a> Why, thank you so much! <strong>JetBlue</strong> U is the facility that trains all of <strong>JetBlue</strong>'s crewmembers from ground crew to pilots.</p>"
