,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,BrazilSFE,Brazil SFE,2956693744,980579828146561024,/BrazilSFE/status/980579828146561024,2018-04-01 22:57:03,1522623423,0,0,0,0,,,,"DÊ LIKE! Compartilhe.
https://goo.gl/iuH8H1 
Dark Data: É uma Oportunidade Bilionária?
 Brazil SFE Tech®
https://goo.gl/iuH8H1 
#Clientes #DadosRedundantes #DarkData #GartnerInc #LiveFlowingData #PerishableInsights #UnitedAirlines pic.twitter.com/J2RF6VRzwS","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">DÊ LIKE! Compartilhe.
<a class=""twitter-timeline-link"" data-expanded-url=""https://goo.gl/iuH8H1"" dir=""ltr"" href=""https://t.co/84V0R8ZXU2"" rel=""nofollow noopener"" target=""_blank"" title=""https://goo.gl/iuH8H1""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">goo.gl/iuH8H1</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
Dark Data: É uma Oportunidade Bilionária?
<img alt=""✔"" aria-label=""Emoji: Heavy check mark"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2714.png"" title=""Heavy check mark""/> Brazil SFE Tech®
<a class=""twitter-timeline-link"" data-expanded-url=""https://goo.gl/iuH8H1"" dir=""ltr"" href=""https://t.co/84V0R8ZXU2"" rel=""nofollow noopener"" target=""_blank"" title=""https://goo.gl/iuH8H1""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">goo.gl/iuH8H1</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Clientes?src=hash""><s>#</s><b>Clientes</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DadosRedundantes?src=hash""><s>#</s><b>DadosRedundantes</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DarkData?src=hash""><s>#</s><b>DarkData</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GartnerInc?src=hash""><s>#</s><b>GartnerInc</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LiveFlowingData?src=hash""><s>#</s><b>LiveFlowingData</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PerishableInsights?src=hash""><s>#</s><b>PerishableInsights</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/UnitedAirlines?src=hash""><s>#</s><b><strong>UnitedAirlines</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/J2RF6VRzwS"">pic.twitter.com/J2RF6VRzwS</a></p>"
1,jtheman9547,jtheman9547,18271533,980579142818246656,/jtheman9547/status/980579142818246656,2018-04-01 22:54:20,1522623260,1,0,0,0,,,,Obligatory wing picture #byeeasterbunny #unitedairlines #ohare @ Chicago O'Hare International… https://www.instagram.com/p/BhC5n9UhSgu/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Obligatory wing picture <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/byeeasterbunny?src=hash""><s>#</s><b>byeeasterbunny</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ohare?src=hash""><s>#</s><b>ohare</b></a> @ Chicago O'Hare International… <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BhC5n9UhSgu/"" dir=""ltr"" href=""https://t.co/2hhZwd1LAJ"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BhC5n9UhSgu/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BhC5n9UhSgu/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
2,Jess_Kiddin,Jess,115000489,980573272159989760,/Jess_Kiddin/status/980573272159989760,2018-04-01 22:31:00,1522621860,1,0,0,0,,,,"Oh @united...I’m sending you 2 pages of anger for both segments of our international travels from early March. You all should seriously be ashamed of yourself. #MilFam #IHATEUNITED #milspouse 
Don’t ever set up your #postdeploymentvacation using #UnitedAirlines","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Oh <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""260907612"" dir=""ltr"" href=""/united""><s>@</s><b>united</b></a>...I’m sending you 2 pages of anger for both segments of our international travels from early March. You all should seriously be ashamed of yourself. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MilFam?src=hash""><s>#</s><b>MilFam</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IHATEUNITED?src=hash""><s>#</s><b>IHATEUNITED</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/milspouse?src=hash""><s>#</s><b>milspouse</b></a> 
Don’t ever set up your <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/postdeploymentvacation?src=hash""><s>#</s><b>postdeploymentvacation</b></a> using <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/UnitedAirlines?src=hash""><s>#</s><b><strong>UnitedAirlines</strong></b></a></p>"
3,sarmadallawati,Sarmad Al-Lawati,210166295,980564325986430977,/sarmadallawati/status/980564325986430977,2018-04-01 21:55:27,1522619727,0,0,0,0,,,,"Please take a few minutes to fill out this survey:  https://rit.az1.qualtrics.com/jfe/form/SV_cT1SDbhAA1dmx0x …
#airlines #usa #AmericanAirlines #unitedAIRLINES #DeltaAirlines #SouthWestAir #alaskaairlines #jetblue #rewards #loyalty","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Please take a few minutes to fill out this survey:  <a class=""twitter-timeline-link"" data-expanded-url=""https://rit.az1.qualtrics.com/jfe/form/SV_cT1SDbhAA1dmx0x"" dir=""ltr"" href=""https://t.co/5lDsoeamzS"" rel=""nofollow noopener"" target=""_blank"" title=""https://rit.az1.qualtrics.com/jfe/form/SV_cT1SDbhAA1dmx0x""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">rit.az1.qualtrics.com/jfe/form/SV_cT</span><span class=""invisible"">1SDbhAA1dmx0x</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/airlines?src=hash""><s>#</s><b>airlines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/usa?src=hash""><s>#</s><b>usa</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmericanAirlines?src=hash""><s>#</s><b>AmericanAirlines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedAIRLINES?src=hash""><s>#</s><b><strong>unitedAIRLINES</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DeltaAirlines?src=hash""><s>#</s><b>DeltaAirlines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SouthWestAir?src=hash""><s>#</s><b>SouthWestAir</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/alaskaairlines?src=hash""><s>#</s><b>alaskaairlines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/jetblue?src=hash""><s>#</s><b>jetblue</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/rewards?src=hash""><s>#</s><b>rewards</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/loyalty?src=hash""><s>#</s><b>loyalty</b></a></p>"
4,mishmishamisha,MishaMisha,4906108773,980556876592148481,/mishmishamisha/status/980556876592148481,2018-04-01 21:25:51,1522617951,1,0,0,0,,,,"@united Please explain how you have an airline ticket advertised for $791.01 on YOUR WEBSITE!! But the website conveniently crashes when I try to buy it! BUT, on calling customer care, the same ticket is magically priced ay $1200!???? #United #Liars #unitedAIRLINES pic.twitter.com/arisaZUJPh","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""260907612"" dir=""ltr"" href=""/united""><s>@</s><b>united</b></a> Please explain how you have an airline ticket advertised for $791.01 on YOUR WEBSITE!! But the website conveniently crashes when I try to buy it! BUT, on calling customer care, the same ticket is magically priced ay $1200!???? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/United?src=hash""><s>#</s><b>United</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Liars?src=hash""><s>#</s><b>Liars</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedAIRLINES?src=hash""><s>#</s><b><strong>unitedAIRLINES</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/arisaZUJPh"">pic.twitter.com/arisaZUJPh</a></p>"
5,mileruns,Mileage Runs,2988785859,980553519211122690,/mileruns/status/980553519211122690,2018-04-01 21:12:31,1522617151,0,0,0,0,,,,AC/UA: From USA cities to Reykjavik (low-$300s) #unitedairlines #mileagerun #travel #mileageplus https://ift.tt/2EbHH36 ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und"">AC/UA: From USA cities to Reykjavik (low-$300s) <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mileagerun?src=hash""><s>#</s><b>mileagerun</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/travel?src=hash""><s>#</s><b>travel</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mileageplus?src=hash""><s>#</s><b>mileageplus</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://ift.tt/2EbHH36"" dir=""ltr"" href=""https://t.co/7kfokmAW4D"" rel=""nofollow noopener"" target=""_blank"" title=""https://ift.tt/2EbHH36""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">ift.tt/2EbHH36</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
6,Nida0313,Nida,825428584160514048,980542977855586304,/Nida0313/status/980542977855586304,2018-04-01 20:30:38,1522614638,1,1,1,0,,,,#unitedAIRLINES Am a gold status member and support local Houston companies.  Disappointed in united inflexibility to reinstate without a free in over 150k in miles my family lost!! pic.twitter.com/z4NfB9eyjw,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedAIRLINES?src=hash""><s>#</s><b><strong>unitedAIRLINES</strong></b></a> Am a gold status member and support local Houston companies.  Disappointed in united inflexibility to reinstate without a free in over 150k in miles my family lost!! <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/z4NfB9eyjw"">pic.twitter.com/z4NfB9eyjw</a></p>"
7,letlamor,Leticia Lamoratta,2724736414,980542185400659968,/letlamor/status/980542185400659968,2018-04-01 20:27:29,1522614449,0,0,1,0,,,,La mejor por lejos #unitedAIRLINES pic.twitter.com/3A1QkHaXBj,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">La mejor por lejos <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedAIRLINES?src=hash""><s>#</s><b><strong>unitedAIRLINES</strong></b></a><img alt=""😎"" aria-label=""Emoji: Smiling face with sunglasses"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60e.png"" title=""Smiling face with sunglasses""/> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/3A1QkHaXBj"">pic.twitter.com/3A1QkHaXBj</a></p>"
8,BlackSoulFood,Power is Taken...not Given,2882754975,980542068589252612,/BlackSoulFood/status/980542068589252612,2018-04-01 20:27:01,1522614421,0,0,0,0,,,,#UA #unitedAIRLINES #UnitedAirpinesFailhttps://twitter.com/elerianm/status/980510001637810176 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/UA?src=hash""><s>#</s><b>UA</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedAIRLINES?src=hash""><s>#</s><b><strong>unitedAIRLINES</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/UnitedAirpinesFail?src=hash""><s>#</s><b>UnitedAirpinesFail</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/elerianm/status/980510001637810176"" dir=""ltr"" href=""https://t.co/qC3NXeJhpK"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/elerianm/status/980510001637810176""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/elerianm/statu</span><span class=""invisible"">s/980510001637810176</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
9,MilesDeals,Miles Deals,844204326067359745,980536790921699334,/MilesDeals/status/980536790921699334,2018-04-01 20:06:03,1522613163,0,0,0,0,,,,"Los Angeles to Stockholm, Sweden for only $395 roundtrip with United Airlines. #UnitedAirlines #LosAngeles https://milesreport.com/us/los-angeles/deals#t15913 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Los Angeles to Stockholm, Sweden for only $395 roundtrip with United Airlines. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/UnitedAirlines?src=hash""><s>#</s><b><strong>UnitedAirlines</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LosAngeles?src=hash""><s>#</s><b>LosAngeles</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://milesreport.com/us/los-angeles/deals#t15913"" dir=""ltr"" href=""https://t.co/6iwllLFgop"" rel=""nofollow noopener"" target=""_blank"" title=""https://milesreport.com/us/los-angeles/deals#t15913""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">milesreport.com/us/los-angeles</span><span class=""invisible"">/deals#t15913</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
