,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,princesskyle,princesskyle,18088853,419256652370411520,/princesskyle/status/419256652370411520,2014-01-03 23:59:09,1388793549,0,0,0,0,,,,@United continues quick customer service! #united #unitedairlines pic.twitter.com/M6IjfEw8IL,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""260907612"" dir=""ltr"" href=""/united""><s>@</s><b>United</b></a> continues quick customer service! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/united?src=hash""><s>#</s><b>united</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/M6IjfEw8IL"">pic.twitter.com/M6IjfEw8IL</a></p>"
1,ambetnabus,Ambet R. Nabus,182415188,419255187690487809,/ambetnabus/status/419255187690487809,2014-01-03 23:53:20,1388793200,0,0,0,0,,,,Hindi nko naaaliw sa nangyayari huh ! Talbog ng # unitedairlines ang #PAL at #CebuPac ha! Kaloka mga… http://instagram.com/p/iudDJpk9sF/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""tl"">Hindi nko naaaliw sa nangyayari huh ! Talbog ng # <strong>unitedairlines</strong> ang <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PAL?src=hash""><s>#</s><b>PAL</b></a> at <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CebuPac?src=hash""><s>#</s><b>CebuPac</b></a> ha! Kaloka mga… <a class=""twitter-timeline-link"" data-expanded-url=""http://instagram.com/p/iudDJpk9sF/"" dir=""ltr"" href=""http://t.co/xIU6vNO2u4"" rel=""nofollow noopener"" target=""_blank"" title=""http://instagram.com/p/iudDJpk9sF/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">instagram.com/p/iudDJpk9sF/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
2,Laney_Squirrel,Laney,1431646776,419253642831462400,/Laney_Squirrel/status/419253642831462400,2014-01-03 23:47:12,1388792832,1,0,0,0,,,,@FrontierCare at least @united has caring workers and prompt resolution. Flying home #unitedairlines,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""179568369"" dir=""ltr"" href=""/FrontierCare""><s>@</s><b>FrontierCare</b></a> at least <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""260907612"" dir=""ltr"" href=""/united""><s>@</s><b>united</b></a> has caring workers and prompt resolution. Flying home <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a></p>"
3,Traveling_bee,CryptoYogini,2200384662,419250485083004928,/Traveling_bee/status/419250485083004928,2014-01-03 23:34:39,1388792079,0,0,0,0,,,,Arrived and stranded in Bogota since my backpack wasn't loaded in Newark. No one can tell when I'll get it! Super boo #unitedairlines,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Arrived and stranded in Bogota since my backpack wasn't loaded in Newark. No one can tell when I'll get it! Super boo <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a></p>"
4,BeardedJets,BillB,248393374,419249662311546880,/BeardedJets/status/419249662311546880,2014-01-03 23:31:23,1388791883,1,0,0,0,,,,#unitedairlines - flt1297- way to mismanage and already poorly managed flight! #refund,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> - flt1297- way to mismanage and already poorly managed flight! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/refund?src=hash""><s>#</s><b>refund</b></a></p>"
5,thedeblou,thedeblou,935903198,419248163040399361,/thedeblou/status/419248163040399361,2014-01-03 23:25:25,1388791525,2,1,1,0,,,,Infuriated at #UnitedAirlines and their totally incompetent staff at #PIA. Weather cannot be controlled but your customer service can be.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Infuriated at <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/UnitedAirlines?src=hash""><s>#</s><b><strong>UnitedAirlines</strong></b></a> and their totally incompetent staff at <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PIA?src=hash""><s>#</s><b>PIA</b></a>. Weather cannot be controlled but your customer service can be.</p>"
6,JaaySherman,Jason Sherman,1652110398,419243560857112576,/JaaySherman/status/419243560857112576,2014-01-03 23:07:08,1388790428,2,0,0,0,,,,Hating @united - please answer the phone already! #unitedairlines,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hating <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""260907612"" dir=""ltr"" href=""/united""><s>@</s><b>united</b></a> - please answer the phone already! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a></p>"
7,BeardedJets,BillB,248393374,419243476304551937,/BeardedJets/status/419243476304551937,2014-01-03 23:06:48,1388790408,0,0,0,0,,,,"#unitedairlines 1297, get going. Waiting to fill 1 more seat while 240+ sit and wait! BS!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> 1297, get going. Waiting to fill 1 more seat while 240+ sit and wait! BS!</p>"
8,LADailyNewz,LA Daily Newz,1315425206,419243032219635713,/LADailyNewz/status/419243032219635713,2014-01-03 23:05:02,1388790302,0,0,0,0,,,,"Airlines delay, cancel flights at #LAX due to East Coast storm -  When Kyle... http://j.mp/1dseuzC 
#EastCoast #NewYork #UnitedAirlines","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Airlines delay, cancel flights at <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LAX?src=hash""><s>#</s><b>LAX</b></a> due to East Coast storm -  When Kyle... <a class=""twitter-timeline-link"" data-expanded-url=""http://j.mp/1dseuzC"" dir=""ltr"" href=""http://t.co/sL3GAnLXfg"" rel=""nofollow noopener"" target=""_blank"" title=""http://j.mp/1dseuzC""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">j.mp/1dseuzC</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/EastCoast?src=hash""><s>#</s><b>EastCoast</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NewYork?src=hash""><s>#</s><b>NewYork</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/UnitedAirlines?src=hash""><s>#</s><b><strong>UnitedAirlines</strong></b></a></p>"
9,JaaySherman,Jason Sherman,1652110398,419242829576036352,/JaaySherman/status/419242829576036352,2014-01-03 23:04:14,1388790254,0,0,0,0,,,,And weather has decided to keep me going from home. Thanks  snow and #unitedairlines . Time to spend the day trying to reschedule.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">And weather has decided to keep me going from home. Thanks  snow and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unitedairlines?src=hash""><s>#</s><b><strong>unitedairlines</strong></b></a> . Time to spend the day trying to reschedule.</p>"
